name, national_flower
Albania, Red Poppy
Algeria, Iris Tectorum
Armenia, Marshmallow plant
Afghanistan, Tulip
Argentina, Ceibo
Australia, Golden Wattle
Austria, Edelweiss
Azerbaijan, Khari-bulbul
Bangladesh, White Water Lily
Barbados, Pride of Barbados
Belgium, Red Poppy
Belarus, Common Flax
Bermuda, Sisyrinchium bermudiana
Bhutan, Blue Poppy
Bolivia, Cantuta
Bosnia and Herzegovina, Lilium bosniacum
Brazil, Cattleya labiata
Bulgaria, Rose
Chile, Copihue
Colombia, Cattleya Orchid
Croatia, Iris
Cuba, Mariposa
Cyprus, Cyclamen
Czech Republic, Rose
Denmark, Marguerite Daisy
Egypt, Lotus
England, Tudor Rose
Estonia, Cornflower
Finland, Lily of the Valley
France, Iris
Georgia, Rosa laevigata
Germany, Cornflower
Hungary, Tulip
Iceland, Mountain Avens
India, Lotus
Indonesia, Puspa Bangsa
Iraq, Red Rose
Ireland, Shamrock
Israel, Cyclamen
Italy, Lily
Japan, Cherry Blossom
Jordan, Black Iris
Kosovo, Paeonia peregrina
Lebanon, Dianthus libanotis
Liechtenstein, Neroli Viviparum Lily
Lithuania, Rue
Luxembourg, Rose
Latvia, Pipene
Macedonia [FYROM], Poppy
Malaysia, Hibiscus
Malta, Centaurea
Mexico, Dahlia
Moldova, Basil
Montenegro, Mimosa
Myanmar, Padauk
Netherlands, Tulip
New Zealand, Kowhai
Norway, Purple Heather
Palestinian Territories, Palestinian poppy
Pakistan, Jasmine
Philippines, Jasminum Sambac
Poland, Corn Poppy
Portugal, Lavender
Puerto Rico, Flor de Maga
Romania, Dog rose
Russia, Chamomile
Scotland, Thistle
Serbia, Lily of the Valley
Singapore, Vanda Miss Joaquim
Slovakia, Rose
Slovenia, Red Carnation
South Africa, King Protea
South Korea, Hibiscus
Spain, Carnation
Sri Lanka, Blue Lily
Sweden, Bluebell
Switzerland, Edelweiss
Taiwan, Plum Blossom
Thailand, Cassia Fistula Linn
Togo, Rose
Tunisia, Jasmine
Turkey, Tulip
United States of America, Rose
Ukraine, Sunflower
Vietnam, Lotus
Zimbabwe, Flame Lily
