Category: All categories

Month,gay community: (Worldwide),lgbt community: (Worldwide),"""lgbtq community"": (Worldwide)","""lgbt community"": (Worldwide)",lgbtq community: (Worldwide)
2004-01,73,1,0,1,0
2004-02,54,2,0,2,0
2004-03,59,3,0,3,0
2004-04,62,0,0,0,0
2004-05,50,3,0,2,0
2004-06,66,3,0,2,0
2004-07,64,1,1,1,1
2004-08,44,2,0,2,0
2004-09,52,5,0,5,0
2004-10,56,6,0,5,0
2004-11,59,5,0,3,0
2004-12,44,2,0,2,0
2005-01,51,7,0,7,0
2005-02,52,4,0,2,0
2005-03,58,1,0,1,0
2005-04,59,2,0,1,0
2005-05,44,3,0,1,0
2005-06,52,4,1,2,1
2005-07,54,2,0,1,0
2005-08,40,3,0,1,0
2005-09,39,4,0,3,0
2005-10,48,5,1,4,1
2005-11,44,4,0,4,0
2005-12,47,3,0,2,0
2006-01,45,2,0,1,0
2006-02,42,3,0,2,0
2006-03,47,3,0,2,<1
2006-04,45,2,0,1,0
2006-05,42,2,0,1,0
2006-06,49,3,0,3,0
2006-07,49,3,1,2,1
2006-08,40,2,0,2,0
2006-09,39,4,<1,3,<1
2006-10,100,3,0,2,0
2006-11,50,4,<1,3,<1
2006-12,42,3,0,2,0
2007-01,46,4,0,3,0
2007-02,42,2,0,1,0
2007-03,46,4,0,3,0
2007-04,44,4,0,2,0
2007-05,39,3,<1,1,<1
2007-06,47,3,<1,2,<1
2007-07,41,3,0,2,0
2007-08,40,3,<1,2,<1
2007-09,45,4,<1,2,<1
2007-10,40,3,<1,2,<1
2007-11,39,4,<1,4,<1
2007-12,29,3,<1,2,<1
2008-01,43,3,0,2,0
2008-02,39,4,<1,3,0
2008-03,38,3,<1,2,<1
2008-04,41,3,<1,3,<1
2008-05,38,4,<1,3,<1
2008-06,40,4,<1,3,1
2008-07,39,3,0,2,0
2008-08,37,2,<1,2,0
2008-09,34,3,1,2,1
2008-10,37,4,<1,3,<1
2008-11,41,4,0,3,0
2008-12,35,3,0,2,0
2009-01,36,5,<1,3,<1
2009-02,34,4,0,3,0
2009-03,37,4,0,3,0
2009-04,35,4,<1,3,<1
2009-05,45,3,<1,2,0
2009-06,48,5,<1,3,<1
2009-07,45,6,0,4,<1
2009-08,50,4,0,3,<1
2009-09,42,3,0,2,<1
2009-10,46,6,0,5,<1
