Category: All categories

Month,gay community: (Worldwide),lesbian community: (Worldwide),bi community: (Worldwide),bisexual community: (Worldwide),trans community: (Worldwide)
2004-01,73,21,1,0,1
2004-02,54,29,1,0,1
2004-03,59,15,1,0,3
2004-04,62,15,1,2,5
2004-05,50,16,2,1,3
2004-06,66,23,0,3,1
2004-07,64,23,2,3,1
2004-08,44,23,0,1,1
2004-09,52,14,3,2,0
2004-10,56,23,1,1,4
2004-11,59,13,1,0,2
2004-12,44,19,0,1,2
2005-01,51,15,1,1,4
2005-02,52,16,2,1,3
2005-03,58,18,2,1,5
2005-04,59,17,1,4,2
2005-05,44,10,1,1,3
2005-06,52,17,1,1,2
2005-07,54,21,1,2,1
2005-08,40,16,2,1,1
2005-09,39,13,1,2,1
2005-10,48,17,0,0,0
2005-11,44,12,2,2,2
2005-12,47,12,1,1,1
2006-01,45,16,2,<1,2
2006-02,42,11,1,1,2
2006-03,47,18,1,1,3
2006-04,45,11,1,1,2
2006-05,42,13,<1,3,1
2006-06,49,16,1,1,2
2006-07,49,20,2,2,1
2006-08,40,8,1,<1,3
2006-09,39,9,1,1,2
2006-10,100,13,1,<1,1
2006-11,50,14,0,4,2
2006-12,42,7,0,1,1
2007-01,46,14,2,2,1
2007-02,42,12,2,2,2
2007-03,46,10,1,1,2
2007-04,44,13,1,1,2
2007-05,39,8,2,1,3
2007-06,47,9,2,1,1
2007-07,41,10,1,1,2
2007-08,40,11,1,1,2
2007-09,45,10,1,1,1
2007-10,40,9,1,<1,2
2007-11,39,8,1,1,1
2007-12,29,7,2,<1,2
2008-01,43,10,1,1,2
2008-02,39,9,2,1,1
2008-03,38,8,3,1,2
2008-04,41,10,2,1,1
2008-05,38,10,2,1,1
2008-06,40,9,1,1,2
2008-07,39,7,3,1,2
2008-08,37,9,1,1,2
2008-09,34,7,1,1,1
2008-10,37,8,2,<1,1
2008-11,41,7,2,1,2
2008-12,35,6,2,6,1
2009-01,36,7,1,1,2
2009-02,34,8,3,1,2
2009-03,37,9,1,1,2
2009-04,35,8,1,1,2
2009-05,45,18,2,1,1
2009-06,48,20,2,1,3
2009-07,45,21,2,1,1
2009-08,50,24,3,1,2
2009-09,42,26,1,1,2
2009-10,46,28,2,1,2
2009-11,48,13,2,<1,1
2009-12,43,14,2,<1,2
2010-01,45,15,1,1,2
2010-02,43,15,1,1,2
2010-03,43,16,1,1,1
2010-04,51,17,1,1,1
2010-05,44,18,2,1,2
2010-06,43,15,2,1,2
2010-07,44,17,1,1,1
2010-08,42,14,1,<1,1
2010-09,39,13,3,<1,2
2010-10,40,16,2,1,2
2010-11,29,15,2,1,2
2010-12,28,14,1,<1,2
2011-01,31,21,2,1,2
2011-02,25,27,1,1,1
2011-03,31,23,2,1,2
2011-04,32,25,2,1,2
2011-05,28,15,1,1,1
2011-06,33,14,1,1,2
2011-07,28,16,1,1,2
2011-08,32,16,1,1,1
2011-09,29,14,2,1,1
2011-10,28,13,1,<1,1
2011-11,35,16,1,1,2
2011-12,32,12,2,<1,2
2012-01,29,14,2,<1,1
2012-02,33,13,2,1,1
2012-03,30,11,2,1,1
2012-04,32,11,2,1,1
2012-05,31,13,1,1,1
2012-06,34,12,2,1,1
2012-07,31,12,1,1,2
2012-08,32,12,2,1,1
2012-09,29,14,1,<1,1
2012-10,30,9,2,1,1
2012-11,30,11,2,1,1
2012-12,27,9,2,<1,1
2013-01,29,9,2,<1,2
2013-02,29,10,2,1,2
2013-03,29,10,2,<1,1
2013-04,31,9,1,1,2
2013-05,25,8,2,1,1
2013-06,28,8,1,1,2
2013-07,26,9,2,<1,1
2013-08,25,8,1,<1,1
2013-09,25,6,1,<1,2
2013-10,24,8,2,<1,2
2013-11,25,7,2,<1,1
2013-12,26,8,1,1,2
2014-01,27,8,1,1,1
2014-02,29,7,1,1,1
2014-03,28,7,2,1,2
2014-04,29,8,2,1,1
2014-05,27,7,1,1,1
2014-06,25,6,1,1,1
2014-07,25,7,1,1,2
2014-08,25,7,1,1,1
2014-09,23,7,1,<1,2
2014-10,25,6,2,1,2
2014-11,23,6,1,1,2
2014-12,22,6,1,1,1
2015-01,22,7,2,<1,2
2015-02,24,7,1,1,2
2015-03,22,7,2,<1,2
2015-04,25,7,2,1,2
2015-05,23,7,2,1,1
2015-06,29,9,1,<1,2
2015-07,25,7,2,1,2
2015-08,20,7,1,<1,2
2015-09,22,7,1,1,2
2015-10,20,7,2,1,2
2015-11,20,6,1,1,2
2015-12,18,6,1,<1,2
2016-01,19,7,1,1,2
2016-02,20,6,1,1,1
2016-03,20,7,2,1,2
2016-04,22,8,1,1,3
2016-05,21,7,1,1,2
2016-06,31,8,2,1,1
2016-07,20,7,1,1,1
2016-08,20,8,1,1,1
2016-09,20,7,1,1,2
2016-10,20,7,2,<1,2
2016-11,23,7,1,1,2
2016-12,17,6,1,<1,2
2017-01,19,7,2,1,2
2017-02,19,7,2,1,2
2017-03,19,5,1,<1,3
2017-04,19,5,1,1,2
2017-05,19,5,2,<1,2
2017-06,21,5,1,1,2
2017-07,19,5,2,<1,2
2017-08,18,6,1,<1,2
2017-09,17,4,2,1,2
2017-10,19,5,2,<1,2
2017-11,18,5,1,1,2
2017-12,17,5,1,1,2
2018-01,18,5,2,1,2
2018-02,18,5,2,1,2
2018-03,19,5,2,1,2
2018-04,20,5,1,<1,2
2018-05,18,4,2,1,2
2018-06,20,4,2,1,2
2018-07,18,4,2,1,2
2018-08,16,3,2,<1,2
2018-09,18,4,1,1,2
2018-10,18,4,2,<1,3
2018-11,17,3,2,1,2
2018-12,16,3,1,<1,2
2019-01,18,3,1,<1,3
2019-02,17,3,2,1,2
2019-03,17,3,2,1,2
2019-04,18,3,2,1,2
2019-05,17,3,3,<1,2
2019-06,21,3,2,1,3
2019-07,17,3,2,1,2
2019-08,17,3,2,1,2
2019-09,16,2,2,<1,2
2019-10,16,3,2,1,3
2019-11,16,3,2,<1,3
2019-12,14,2,2,<1,2
2020-01,15,2,2,<1,2
2020-02,17,3,2,1,3
2020-03,13,3,2,1,2
2020-04,19,4,2,<1,2
2020-05,20,3,2,1,2
2020-06,23,5,2,1,5
2020-07,16,3,3,1,3
2020-08,17,3,2,1,3
2020-09,16,3,2,1,3
2020-10,17,3,2,1,2
2020-11,17,2,2,1,3
2020-12,13,2,2,1,2
2021-01,14,2,2,<1,2
2021-02,15,3,2,1,3
2021-03,14,3,2,1,3
2021-04,14,3,2,1,3
2021-05,16,3,2,1,3
2021-06,18,4,2,1,3
2021-07,18,2,2,1,3
2021-08,15,3,2,<1,3
2021-09,15,3,2,1,3
2021-10,15,2,2,<1,5
2021-11,14,2,2,1,4
2021-12,13,2,2,<1,3
2022-01,14,3,2,1,3
2022-02,14,3,2,<1,3
